latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
9.639,-63.551,321.9,4.3,1.9,2019-10-02,0155,T,41,6.0NRT,275.8,149.3,N
9.656,-63.554,309.6,4.3,1.9,2019-10-02,0155,T,65,6.0NRT,273.4,74.4,N
9.65,-63.592,307.4,4.3,1.9,2019-10-02,0155,T,31,6.0NRT,277.4,64.6,N
9.643,-63.631,320.8,4.3,1.9,2019-10-02,0155,T,100,6.0NRT,275.5,153.8,N
9.737,-63.492,308.1,4.2,1.9,2019-10-02,0155,T,58,6.0NRT,278.7,68.1,N
9.645,-63.636,326.9,4.3,1.9,2019-10-02,0155,T,87,6.0NRT,275.3,200,N
31.918,-81.719,305.2,1.1,1,2019-10-02,0340,T,63,6.0NRT,293.6,6.6,N
30.941,-88.016,304.5,1.5,1.2,2019-10-02,0340,T,58,6.0NRT,294.1,7.6,N
31.155,-87.986,304.8,1.5,1.2,2019-10-02,0340,T,59,6.0NRT,294.6,7.2,N
32.356,-83.825,313.5,1,1,2019-10-02,0340,T,87,6.0NRT,294.2,10.4,N
33.011,-79.887,307.8,1.3,1.1,2019-10-02,0340,T,73,6.0NRT,293.3,10.5,N
31.368,-101.785,303.7,1.8,1.3,2019-10-02,0520,T,57,6.0NRT,293.1,9.9,N
32.106,-110.999,308.2,1.2,1.1,2019-10-02,0520,T,74,6.0NRT,290.8,11.6,N
32.104,-111.011,302.7,1.2,1.1,2019-10-02,0520,T,51,6.0NRT,291.3,7.1,N
32.109,-111.005,313.1,1.2,1.1,2019-10-02,0520,T,86,6.0NRT,290.9,15.8,N
33.002,-110.765,311.4,1.1,1.1,2019-10-02,0520,T,82,6.0NRT,293.3,12.2,N
33,-110.776,311.6,1.1,1.1,2019-10-02,0520,T,83,6.0NRT,293.3,12.6,N
9.747,-63.466,306.5,3.1,1.7,2019-10-02,0625,A,68,6.0NRT,291.5,35.2,N
9.732,-63.468,308.5,3.1,1.7,2019-10-02,0625,A,75,6.0NRT,290.1,42.2,N
9.657,-63.571,310.5,3,1.7,2019-10-02,0625,A,80,6.0NRT,292,46.1,N
9.653,-63.544,313.4,3,1.7,2019-10-02,0625,A,87,6.0NRT,291.2,58.9,N
9.652,-63.627,338.2,3,1.6,2019-10-02,0625,A,100,6.0NRT,290.4,196,N
9.647,-63.6,322.8,3,1.6,2019-10-02,0625,A,100,6.0NRT,291.2,98.7,N
9.632,-63.686,320.6,3,1.6,2019-10-02,0625,A,100,6.0NRT,291.8,83.9,N
9.622,-63.715,325,2.9,1.6,2019-10-02,0625,A,100,6.0NRT,291.6,106.4,N
9.652,-63.634,325,3,1.6,2019-10-02,0625,A,100,6.0NRT,290.1,107.4,N
9.648,-63.608,326.3,3,1.6,2019-10-02,0625,A,100,6.0NRT,291.2,116.1,N
9.632,-63.694,317.2,3,1.6,2019-10-02,0625,A,95,6.0NRT,291.6,70.3,N
9.627,-63.667,307,3,1.6,2019-10-02,0625,A,70,6.0NRT,291.5,32.3,N
9.622,-63.723,321.6,2.9,1.6,2019-10-02,0625,A,100,6.0NRT,291.6,89.2,N
9.617,-63.696,304.6,3,1.6,2019-10-02,0625,A,61,6.0NRT,291.2,25.1,N
9.392,-64.543,303.3,2.6,1.5,2019-10-02,0625,A,54,6.0NRT,291,17.2,N
9.374,-64.522,300.6,2.6,1.5,2019-10-02,0625,A,31,6.0NRT,290.5,11.6,N
